計畫名稱,所屬科室,計畫別,目的,就業狀態 (必須),性別限定,年齡,特殊身份別,失業週期,對象條件,只要失業對象,只要失業對象 (文昕理解),怡含建議條件式,放寬對象類別,"放寬對象
失業天數",計畫對象,計畫對象失業週期,
Plan15,就業促進科,照顧服務就業獎勵,為協助失業勞工就業及充實照顧服務人力，鼓勵失業勞工投入居家式、社區式及照顧機構等長照單位從事照顧服務工作。 ,"待業中
已退休",不限,不限,非自願離職者,"不限 (特殊身份別)
30 (無特殊身份別)","(一)勞工資格：

失業勞工符合下列情形之一者：
1.失業期間連續達30日以上。
2.非自願離職。
3.經公立就業服務機構評估。
4.受僱於居家式、社區式及照顧機構等長照單位從事照顧服務工作之勞工，除須符合前項規定外，尚須符合下列條件之一：(1)領有照顧服務員訓練結業證明書、(2)領有照顧服務員職類技術士證、(3)高中(職)以上學校護理、照顧相關科、系、組、所、學位學程畢業、(4)完成經衛生福利部公告之照顧服務員修業課程，並取得修業證書。
(二)雇主適用範圍：

1.提供長期照顧服務法第9條所定居家式、社區式(指提供日間照顧、臨時住宿、團體家屋及小規模多機能之服務)或機構住宿式之長期照顧服務方式者。
2.外國人從事就業服務法第46條第1項第8款至第11款工作資格及審查標準第15條所定之機構。
3.提供衛生福利部社區整體照顧服務體系巷弄長照站之喘息服務者。",非自願離職。,非自願離職者,"勾選
待業中or
已退休
+
符合以下之一 
1.非自願離職者
2.失業週期30(含)以上之全部勞工
顯示

※經公立就業服務機構評估無法系統區分",,,一般失業者,30,
Plan16,產學培力中心,產業新尖兵計畫,為協助青年掌握國家產業發展契機，引領取得5+2產業及具發展前景之製造產業之關鍵技術能力。,待業中,,"少年
青年",,不限 (符合年齡),"年滿15歲至29歲之本國籍失業或待業青年
",15歲至29歲之本國籍失業或待業青年,E G欄已敘述 (故可刪除),"勾選
待業中
+
符合以下之一 
1.少年
2.青年
顯示",,,15歲至29歲之本國籍失業或待業青年,,
Plan17,產學培力中心,青年就業旗艦計畫,針對15至29歲缺乏工作經驗或專業技能之青年，結合產業資源，由訓練單位依據用人需求，辦理先僱後訓的「工作崗位訓練」，提供青年務實致用之職業訓練，同時提升事業單位僱用青年之意願。,待業中,,"少年
青年",,不限 (符合年齡),15歲以上29歲以下青年,15歲以上29歲以下青年,E G欄已敘述 (故可刪除),"勾選
待業中
+
符合以下之一 
1.少年
2.青年
顯示",,,15歲以上29歲以下青年,雇主和勞工都放,
Plan18,特定對象及學員輔導科,婦女再就業計畫(2023-2026)-自主訓練獎勵,為促進婦女再就業，配合國內疫後缺工各項措施，運用自主訓練獎勵、再就業獎勵及雇主工時調整獎勵等措施，提升勞動力參與率，並紓緩國內缺工情形，補充人力供給。,"職訓中
待業中
已退休",女性,不限,,180 (符合姓別及曾經就業),因家庭因素退出勞動市場180日以上者,,,"勾選
職訓中or
待業中or 
已退休
+
女性+曾經就業+失業週期180(含)以上
顯示",,,婦女,180,
Plan19,特定對象及學員輔導科,婦女再就業計畫(2023-2026)-婦女再就業獎勵,為促進婦女再就業，配合國內疫後缺工各項措施，運用自主訓練獎勵、再就業獎勵及雇主工時調整獎勵等措施，提升勞動力參與率，並紓緩國內缺工情形，補充人力供給。,"職訓中
待業中
已退休",女性,不限,二度就業婦女,180 (符合姓別及曾經就業、特殊身份別),因家庭因素退出勞動市場180日以上者,,,"勾選
職訓中or
待業中or 
已退休
+
女性+曾經就業+失業週期180(含)以上
顯示",,,婦女,180,
Plan20,自辦訓練科,失業者職業訓練,為協助國內失業者能接受適性與適訓之職業訓練，取得就業技能與充分就業，本分署運用運用自有訓練設施提供年滿15歲以上失業者適合參加之失業者職前訓練課程，使失業者習得就業技能，以充分就業。,待業中,不限,不限,,不限 (符合待業中),"(一)以失業者為招生對象，在職勞工、自營作業者、公司或行(商)號負責人，不得報名參加職前訓練。
 (二)以年滿15歲（含）以上、具工作意願且工作技能不足之失業者，並符合下列資格之一者：
 1.具中華民國國籍。
 2.新住民：(1)與在中華民國境內設有戶籍之國民結婚，且獲准在臺灣地 區居留之外國人、大陸地區人民、香港或澳門居民。(2)前目之外國人、大陸地區人民、香港或澳門居民，與其配 偶離婚或其配偶死亡，而依法規規定得在臺灣地區繼續居 留工作者。
 3.經入出國及移民法第16條第3項或第4項規定許可其居留之下 列對象之一：(1)泰國、緬甸地區單一中華民國國籍之無戶籍國民。(2)泰國、緬甸、印度或尼泊爾地區無國籍人民，且已依就業 服務法第51條第1項第1款規定取得工作許可者。
 4.跨國(境)人口販運被害人，並取得工作許可者。
 5.因職業傷害或罹患職業疾病，經醫師診斷喪失部分工作能力， 其失能程度符合勞工保險失能給付標準第二等級至第十五等級 規定之項目，且未經雇主依就業服務法第56條第1項規定通知 連續曠職3日失去聯繫者。",年滿15歲以上,E G欄已敘述 (故可刪除),"勾選
待業中 
皆顯示",,,年滿15歲以上之失業者,與訓練推庿科辦理失業者職業訓練條件相同單位不同而已,
Plan20,自辦訓練科,產學攜手合作計畫2.0,透過「先訓、再用、後學」的機制，能使學員的實務與理論能夠兼得，讓「學用落差」與「訓用落差」得以有效的縮短，充分落實「學訓用合一」的目標，以達成「學以致用」的目的。,"待業中
日間部在校學生",,"少年
青年",高中職以上畢業,不限 (符合年齡之待業中),"1、具中華民國國籍，29歲以下
 2、高職相關科系畢業
 3、高中畢業需取得學歷滿一年並具有相關職類丙級技術士證照
 4、曾就讀大專校理工科系完成一學年以上之課程肄業者",15歲以上29歲以下青年,E G欄已敘述 (故可刪除),"勾選
日間部在校學生
+
青年
顯示

※暫不列入學歷考量",,,15歲以上29歲以下之高中職以上相關科系畢業青年,,
Plan21,就業促進科,微型創業鳳凰貸款,為提升我國女性、中高齡國民及設籍離島居民勞動力參與率，建構創業友善環境，協助發展微型企業，創造就業機會，提供創業陪伴服務、創業貸款利息補貼及融資信用保證專案。,"待業中
已退休
職訓中
自行創業",女姓,中高齡,18-44歲(青年、中年)成年女性,不限 (無性別中年齡及特殊身份別符合),"1.未滿45歲之成年女性
2.年滿45-65歲者
3.65歲以下且設籍離島之成年人","1.年滿18歲至65歲女性。
2.年滿45歲以上中高齡者。
3.年滿18歲至65歲，且設籍於離島之居民。",,"勾選
待業中or 
已退休or
職訓中or
自行創業
+
符合以下之一 
1.女姓+青年
2.女姓+中年
3.中高齡
顯示

※65歲以下且設籍離島之成年人，因無法分辨設籍離島，故先刪除",,,未滿45歲之成年女性、中高齡者（45-65）、65歲以下且設籍離島之成年人,,
Plan22,就業促進科,就業保險失業者創業協助,為失業之就業保險被保險人建構創業友善環境，創造就業機會，提供創業陪伴服務及融資信用保證專案。,"待業中
職訓中
自行創業",不限,"少年
青年
中年
中高齡",,"扣除未曾就業的少年
青年
中年
中高齡",就業保險被保險人失業而有意自行創業者。,15-65歲失業之就業保險被保險人,滿足E欄的非高齡者且不能勾選未曾就業,"勾選
職訓中or
待業中or 
自行創業
+
符合以下之一 
1.少年+失業狀況曾經就業（不含未曾就業）
2.青年+失業狀況曾經就業（不含未曾就業）
3.中年+失業狀況曾經就業（不含未曾就業）
4.中高齡+失業狀況曾經就業（不含未曾就業）
顯示

※勾選未曾就業不符合就業保險失業被保險人身份",,,15-65歲失業之就業保險被保險人,,
Plan23,就業促進科,失業中高齡者及高齡者創業貸款,為協助失業之中高齡者及高齡者穩定事業經營，舒緩創業初期之資金壓力，辦理失業中高齡者及高齡者創業貸款及提供利息補貼。,自行創業,不限,"中高齡
高齡",,不限 (年齡),失業之45歲以上中高齡者及高齡者,中高齡者（45-65）、高齡者【65歲(不含)以上】,E G欄已敘述 (故可刪除),"勾選
自行創業
+
符合以下之一 
1.中高齡
4.高齡
顯示

※穩定事業經營，舒緩創業初期之資金壓力，表示已為創業中狀態",,,中高齡者（45-65）、高齡者【65歲(不含)以上】,,
Plan24,諮詢服務及給付科,僱用安定措施,對於因受景氣因素影響而減班休息勞工，提供薪資差額補貼，穩定在職勞工就業。,在職中,不限,不限,,,"1.公告適用之行業別在職勞工。
2.於公告辦理期間內實施減班休息。",,,"勾選
在職中
皆顯示",,,在職勞工,,
Plan25,銀髮人才資源中心,推動職務再設計服務計畫,為營造友善工作環境，協助員工減緩因身心障礙、年齡增長或產業變動等因素所致工作障礙，增進其工作效能，促進其穩定就業。,在職中,不限,"中高齡
高齡",,不限 (符合年齡),"1.年滿45歲至65歲之中高齡者。
2.逾65歲之高齡者。
3.原因應貿易自由化產業調整支援方案指定產業所屬事業單位之勞工。",,,"勾選
在職中
+
符合以下之一 
1.中高齡
4.高齡
顯示

※因應貿易自由化產業調整支援方案指定產業所屬事業單位之勞工，以目前條件無法分辨",,,中高齡者（45-65）、高齡者【65歲(不含)以上】之在職勞工,,
Plan26,自辦訓練科,在職者職業訓練,"為因應產業發展並提高在職勞 工職場穩定度，充分運用各分署訓練設施與師資，利用假日或夜間
 時段辦理在職人員之進修訓練，以提升生產力及服務品質。",在職中,不限,不限,,,"(一)具勞工保險、就業保險、勞工職業災害保險或農民健康保險被
保險人身分之在職勞工，其投保身分以開訓日為基準日，且符
 合下列資格之一者：
 1.具本國籍。
 2.與中華民國境內設有戶籍之國民結婚，且獲准居留在臺灣地
 區工作之外國人、大陸地區人民、香港居民或澳門居民。
 3.符合入出國及移民法第十六條第三項、第四項規定取得居留
 身分之下列對象之一：
 (1)泰國、緬甸地區單一中華民國國籍之無戶籍國民。
 (2)泰國、緬甸、印度或尼泊爾地區無國籍人民，且已依就
 業服務法第五十一條第一項第一款規定取得工作許可者。
 4.跨國（境）人口販運被害人，並取得工作許可者。",,,"勾選
在職中
皆顯示",,,在職勞工,,
Plan27,諮詢服務及給付科,職場學習及再適應計畫,為協助特定對象等就業弱勢者就業準備及就業適應，透過事業單位或團體，提供職場學習及再適應之機會，使其重返職場。,"待業中
已退休","中高齡
高齡
少年",不限,就業服務法第24條第1項各款失業者【勾選長期失業者、獨力負擔家計者、身心障礙者、原住民、更生受保護人、家庭暴力被害人、中低收入戶(含低收入戶）、二度就業婦女】及十五歲以上未滿十八歲之未就學未就業少年、性侵害被害人、新住民及其他（犯罪被害人、人口販運被害人、施用毒品者）,"不限 (年齡或特殊身份別)
","本計畫所稱個案，指依附表一認定，並有就業意願之下列失業者：
    （一）獨力負擔家計者。
    （二）中高齡者。
    （三）高齡者。
    （四）身心障礙者。
    （五）原住民。
    （六）低收入戶或中低收入戶中有工作能力者。
    （七）長期失業者。
    （八）二度就業婦女。
    （九）家庭暴力及性侵害被害人。
    （十）更生受保護人。
    （十一）十五歲以上未滿十八歲之未就學未就業少年。
    （十二）新住民。
    （十三）犯罪被害人。
    （十四）人口販運被害人。
    （十五）施用毒品者。
    （十六）其他經公立就業服務機構評估認定需要協助者。
",獨力負擔家計者、中高齡者、高齡者【65歲(不含)以上】、身心障礙者、原住民、低收入戶或中低收入戶中有工作能力者、長期失業者、二度就業婦女、家庭暴力被害人、更生受保護人、十五歲以上未滿十八歲之未就學未就業少年、性侵害被害人、新住民及其他（犯罪被害人、人口販運被害人、施用毒品者）。,"1. 中高齡者
2. 高齡者
3. 就服法24-1者
4. 新住民
5. 其他（犯罪被害人、人口販運被害人、施用毒品者）
6. 十五歲以上未滿十八歲之未就學未就業少年","
勾選
待業中or
已退休 
+
符合以下之一 
1. 中高齡
2. 高齡
3  少年
4. 就服法24-1者
5. 新住民
6. 性侵害被害人
7. 其他（犯罪被害人、人口販運被害人、施用毒品者）
顯示
",,,獨力負擔家計者、中高齡者、高齡者【65歲(不含)以上】、身心障礙者、原住民、低收入戶或中低收入戶中有工作能力者、長期失業者、二度就業婦女、家庭暴力被害人、更生受保護人、十五歲以上未滿十八歲之未就學未就業少年、性侵害被害人、新住民及其他（犯罪被害人、人口販運被害人、施用毒品者）。,,
Plan28,就業促進科,初次尋職青年穩定就業計畫,"為協助初次尋職及從事非典型工作之青年
強化求職準備，並鼓勵青年積極尋職及穩定就業，特訂定本計畫。",待業中,不限,"少年
青年",年滿15歲至29歲之本國籍初次尋職青年，未在學且未就業,"90 (符合年齡之待業中或特殊身份別)
",年滿15歲至29歲之本國籍初次尋職青年，未在學且未就業連續達九十日以上者,,,"勾選
待業中 
+
符合以下之一 
1.少年+失業狀況為未曾就業+已畢業（畢業證書）或退役（退伍令)滿90日含以上

2.青年+失業狀況為未曾就業+已畢業（畢業證書）或退役（退伍令)滿90日含以上
顯示

※勾選未曾就業不符合就業保險失業被保險人身份",,,年滿15歲至29歲之本國籍初次尋職青年，未在學且未就業,90,
Plan29,特定對象及學員輔導科,多元就業開發方案,建構民間團體與政府部門間促進就業之合作夥伴關係，透過促進地方發展，提升社會福祉之計畫，創造失業者在地就業機會。,待業中,不限,"中高齡
高齡","1、就業服務法第24條第1項各款失業者【勾選長期失業者、獨力負擔家計者、身心障礙者、原住民、更生受保護人、家庭暴力被害人、中低收入戶(含低收入戶）、二度就業婦女】
2、性侵害被害人",不限(符合年齡或特殊身份別),"（一）經濟型計畫以非自願性失業者、中高齡失業者為優先。
（二）社會型計畫以弱勢族群及其他經本部指定之對象為限。
（三）以未曾參加過本方案、臨時工作津貼等相關就業促進津貼或勞保失業給付之失業者為優先。","1.獨力負擔家計者。
2.中高齡者。
3.身心障礙者。
4.原住民。
5.生活扶助戶中有工作能力者。
6.長期失業者。
7.更生受保護人。
8.家庭暴力及性侵害被害人。
9.因家庭因素退出勞動市場二年以上，重返職場之婦女。
10.其他經中央主管機關認定者。
11.非自願性失業者",,"
勾選
待業中
+
符合以下之一 
1. 中高齡
2. 高齡
3  就服法24-1者
4. 性侵害被害人
顯示
",,,"1.獨力負擔家計者。
2.中高齡者。
3.身心障礙者。
4.原住民。
5.生活扶助戶中有工作能力者。
6.長期失業者。
7.更生受保護人。
8.家庭暴力及性侵害被害人。
9.因家庭因素退出勞動市場二年以上，重返職場之婦女。
10.其他經中央主管機關認定者。
11.非自願性失業者",,"◆參加限制：
一、已領取軍公教人員保險養老给付、軍人退休俸、公營事業退休金或合於勞動基準法規定之退休金者、不得參加本方案。但有特殊情形，經公立就業服務中心綜合評估，確有必要協助其就業者不在此限。
二、用人單位之理事長、總幹事、執行長、理監事、相關領導幹部或相同職務者，及其配偶、三親等內血親、姻親，不得為本方案同一用人單位之進用人員。但其配偶、三親等內血親、姻親如符合條件，且有意願參加本方案該用人單位之失業者數量不足，得由公立就業服務中心辦理專案推介，並報勞發署備查。用人單位得進用前項第一款人員擔任經濟型計畫專案經理人或社會型計畫專案管理人。"
