計畫名稱,所屬科室,計畫別,目的,適用年齡,適用對象,對象條件,申請資格/條件,是否為就業保險投保單位,是否為人力派遣公司,用人單位類別,核薪方式,怡含建議條件式,怡含註明,給付標準,給付期限,應備文件,特殊關鍵字,申請方式,,,
Plan16,產學培力中心,產業新尖兵計畫,為協助青年掌握國家產業發展契機，引領取得5+2產業及具發展前景之製造產業之關鍵技術能力。,待業中,,"少年
青年",,,不限 (符合年齡),15歲至29歲之本國籍失業或待業青年,,E G欄已敘述 (故可刪除),,15歲至29歲之本國籍失業或待業青年,,,,,,,
Plan17,產學培力中心,青年就業旗艦計畫,針對15至29歲缺乏工作經驗或專業技能之青年，結合產業資源，由訓練單位依據用人需求，辦理先僱後訓的「工作崗位訓練」，提供青年務實致用之職業訓練，同時提升事業單位僱用青年之意願。,待業中,,"少年
青年",,,不限 (符合年齡),15歲以上29歲以下青年,,E G欄已敘述 (故可刪除),,15歲以上29歲以下青年,,,,,,,
Plan21,自辦訓練科,產學攜手合作計畫2.0,透過「先訓、再用、後學」的機制，能使學員的實務與理論能夠兼得，讓「學用落差」與「訓用落差」得以有效的縮短，充分落實「學訓用合一」的目標，以達成「學以致用」的目的。,待業中,,"少年
青年",,高中職以上畢業,不限 (符合年齡之待業中),15歲以上29歲以下青年,,E G欄已敘述 (故可刪除),,15歲以上29歲以下之高中職以上相關科系畢業青年,,,,,,,
Plan22,就業促進科,微型創業鳳凰貸款,為提升我國女性、中高齡國民及設籍離島居民勞動力參與率，建構創業友善環境，協助發展微型企業，創造就業機會，提供創業陪伴服務、創業貸款利息補貼及融資信用保證專案。,"待業中
已退休
職訓中
自行創業",,中高齡,,18-44歲女性,不限 (無性別中年齡及特殊身份別符合),,,,,未滿45歲之成年女性、中高齡者（45-65）、65歲以下且設籍離島之成年人,,,,,,,
Plan8,銀髮人才資源中心,五零五零壯世代就業網絡合作補助要點,為促進中高齡者及高齡者勞動參與，勞動部勞動力發展署與衛生福利部、教育部等8個部會攜手合作，訂定「五零五零壯世代就業網絡合作補助要點」，透過補助機制連結跨部會網絡據點資源，推動並倡議中高齡及高齡人力再運用，,,民間團體,"a. 符合依人民團體法或其他法令設立之民間團體或單位、學校，及衛生福利部、教育部、文化部、農業部等8個部會之附屬機關（構）。
b.今年自行辦理或受機關委託、補助辦理社區照顧關懷據點、樂齡大學、社區營造、就業服務、工業區服務中心等相關業務者。","請補助時，須受機關委託、補助或自行提供相關業
務。該業務範圍如下：
(1)衛生福利部：辦理社區照顧關懷據點或巷弄長照站等
相關業務。
(2)文化部：辦理社區營造相關業務。
(3)農業部：辦理綠色照顧站相關業務。
(4)教育部：辦理樂齡大學、樂齡學習中心、社區大學等
相關業務。
(5)原住民族委員會：辦理原住民族文化健康站相關業
務。
(6)客家委員會：辦理伯公照護站相關業務。
(7)經濟部：辦理工業區服務中心相關業務。
(8)國軍退除役官兵輔導委員會：辦理榮民服務處就業服
務相關業務。",是,否,"1.民營事業單位
2.民間團體：依人民團體法或其他法令設立之團體(不含政治團體及政黨)。
3.私立學校
4.公營事業機構
5.合法登記或立案之非營利組織及學術研究機構。",不限,"勾選
為就業保險投保單位
+
『新僱用』
顯示","1、無。

2、無。

3、雇主：(1)是否為就業保險投保單位勾選是及(2)是否為人力派遣公司勾選否及(3)用人單位類別勾選民營事業單位、或民間團體：依人民團體法或其他法令設立之團體(不含政治團體及政黨)、或私立學校、或公營事業機構、或合法登記或立案之非營利組織及學術研究機構。(4)核薪方式勾選月薪依學經歷、證照核薪（每月經常性薪資達4萬元以上）","【補助原則】
1. 視提案計畫內容補助人事費、執行計畫必要支用之業務費等費用。
2. 申請人事費之補助單位，應優先僱用中高齡或高齡者，以協助壯世代就業及持續社會參與，貢獻人力資本。
【補助額度】
每一雇主每年度與「中高齡者退休後再就業準備訓練補助實施計畫」合計最高補助新臺幣50萬元。",,"1. 申請書。
2. 依法核准設立之文件，包括人民團體立案證書影本、
法人登記證書影本、組織章程影本等。但提案單位為
行政機關者，得免付。
3. 實施計畫書。
4. 提供申請時有辦理衛生福利部、文化部、農業部、教
育部、原住民族委員會、客家委員會、經濟部或國軍
退除役官兵輔導委員會等相關業務之證明文件。
5. 其他經分署認定有必要提出之文件。",5050、五零五零、壯世代就業網絡合作,各分署在地服務窗口收件,"業務督導員
黃秀禎",02-7730-8878#2320,暫不放置
Plan9,銀髮人才資源中心,職場支持輔導費補助,為鼓勵雇主提供壯世代勞工友善協助措施，本署提供職場支持輔導費補助，引導雇主優化職場環境，協助穩定就業職場。,"年滿五十五歲以上或年滿四十五歲以上依法退休者（以下併稱
壯世代勞工）",45歲以上失業之中高齡及高齡者,"1.年滿55歲以上
2.滿45歲以上依法退休者
（併稱壯世代勞工）","就業保險投保單位之民營事業單位。
依人民團體法或其他法令設立之團體(不含政治團體及政黨)。
私立學校。",是,不限,"1.民營事業單位
2.民間團體：依人民團體法或其他法令設立之團體(不含政治團體及政黨)。
3.私立學校",不限,"勾選
為就業保險投保單位
+
『新僱用』
顯示",,"依下列基準核發，每人最高發給二次： 
(一) 全時工作者，每次新臺幣（下同）三萬元。 
(二) 部分工時工作者，每次一萬五千元。 ",,"(一) 壯世代就業獎勵申請書（如附表一）及領取收據（如附表
二）。 
(二) 身分證明或居留證明文件之影本。 
(三) 工資證明文件影本。 
(四) 本人名義之國內金融機構存摺封面影本。 
(五) 同意代為查詢就業保險、勞工保險及勞工職業災害保險資料。 
(六) 其他經主辦機關規定之文件。 ",壯世代、就業獎勵、重返職場、職場支持輔導,各分署在地服務窗口收件,"離開職場連續達三個月以上之壯世代勞工，
1.向公立就服機構辦理求職登記開立推介卡
2.經雇用符合申請條件
3.受僱期間滿90日之次日90日內
檢附文件向原推介公立就服機構申請",02-7730-8878#2318,
Plan10,訓練推廣科,在職中高齡者及高齡者穩定就業訓練補助,鼓勵雇主依經營發展及穩定留任之需求，指派所僱用之中高齡者及高齡者參加國內訓練單位公開招訓之訓練課程，以保障中高齡及高齡勞工參訓權益。,45歲以上失業之中高齡及高齡者,,"1.就業保險投保單位之民營事業單位。
2.依人民團體法或其他法令設立之團體(不含政治團體及政黨)。
3.私立學校。",,是,不限,"1.民營事業單位
2.民間團體：依人民團體法或其他法令設立之團體(不含政治團體及政黨)。
3.私立學校",不限,"勾選
為就業保險投保單位
+
『職業訓練-在職訓練』
顯示",,"1.訓練課程費用之70%補助。
2.每一雇主每年最高補助以新臺幣30萬元為限。",,"1.申請書。
2.全年度訓練計畫書，其內容包括對象及經費概算總表。
3.依法設立登記之證明文件影本。
4.最近一期勞工保險費用繳款單及明細表影本。
5.最近一期繳納之營業稅證明或無欠稅證明影本。","事業單位申請本計畫，應於補助企業辦理訓練資訊系統一次提出年度訓練計畫，並完成上傳程序。
事業單位完成上傳程序之次日起5個工作日內，檢具相關文件向雇主所在地之分署提出申請。",,,,
Plan11,訓練推廣科,小型企業人力提升計畫,為提升中小企業辦理教育訓練意願，本署提供人才培訓之輔導諮詢及訓練執行等服務，協助企業減輕投資人力資本之成本，強化健全人才培訓發展，促進就業穩定。,,,"受理申請對象為國內依法辦理設立登記或營業（稅籍）登記，
    且受僱勞工參加就業保險之人數五十人以下之民間投保單位（以下簡
    稱企業）。
    符合政府推動之政策性產業、近三年曾獲經濟部、國家科學及技術委
    員會等目的事業主管機關有關引進新技術、購置新設備、投資研究發
    展或新創研發等補助或核定，及分署區域運籌資源衡平性考量產業或
    地區之企業，得優先提供服務。","企業型態為總機構及其分支機構者，應以總機構名義申請本計畫。
    申請對象有以下情事之一者，應自行辦理訓練，並視需要另申請其他
    相關在職進修訓練計畫：
（一）具本署 TTQS 企業機構版評核結果於效期內為通過以上或辦訓能力
      檢核表合格者。
（二）曾獲本署國家人力創新獎團體獎、國家訓練品質獎及國家人才發展
      獎之單位。
    經分署認定，申請本計畫之企業有下列情事之一，且具有自行辦理訓
    練能力者，不予提供後續訓練課程辦理事宜：
（一）已具人資相關部門。
（二）設有人資相關職務。
（三）營業項目具辦理訓練。
（四）已有相關單位及顧問提供訓練服務。
（五）已具自行規劃辦理訓練之經驗。",是,不限,"1.民營事業單位
2.民間團體：依人民團體法或其他法令設立之團體(不含政治團體及政黨)。",不限,"勾選
為就業保險投保單位
+
『職業訓練-在職訓練』
顯示",,輔導服務及訓練課程費用由政府全額負擔。,,"1.申請表。
2.合法設立登記證明文件之影本。
3.最近一期之勞工保險費繳款證明及明細表影本。(以總機構名義申請者，需另檢附參與訓練之分支機構勞保明細資料。)
4.近一期納稅證明，其銷項及進項金額不得皆為零；若無納稅證明，得以無欠稅證明代替。",,,,,
Plan12,訓練推廣科, 企業人力資源提升計畫,為協助事業單位辦理在職員工進修訓練，擴展訓練效益，本署提供事業單位辦理訓練課程之部分訓練費用補助，以協助事業單位有效投資人力資本。,,,"事業單位為民營事業機構、非營利法人或團體(不含政治團體及政黨)，且受僱勞工參加就業保險人數達51人以上者。
事業單位之受僱勞工參加就業保險之人數未滿51人者，須具備下列條件之一：
(1)具有TTQS企業機構版評核結果為通過以上或辦訓能力檢核表為合格者，且於申請書面資料交寄日仍有效。
(2)曾獲得「國家人力創新獎」、「國家訓練品質獎」或「國家人才發展獎」。
(3)申請小型企業人力提升計畫，經分署認定已具有辦訓能力而不予提供後續訓練課程辦理事宜。
(4)接受小型企業人力提升計畫輔導服務及訓練課程達3年，且未繼續申請該計畫。",,是,不限,"1.民營事業單位
2.民間團體：依人民團體法或其他法令設立之團體(不含政治團體及政黨)。",不限,"勾選
為就業保險投保單位
+
『職業訓練-在職訓練』
顯示",,"同一年度可依下列補助類型，擇一申請辦理：
1.個別型訓練計畫：由一家事業單位申請辦理訓練者，最高補助新臺幣95萬元。
2.聯合型訓練計畫：由一家事業單位申請辦理聯合訓練，並結合一家以上具產業或區域發展關聯性之事業單位參加者，最高補助新臺幣190萬元。
3.產業推升型訓練計畫：以經濟部「推動中堅企業躍升計畫」遴選之「潛力中堅企業」與「卓越中堅企業獎」獲獎單位及本部遴選之「國家人才發展獎」、「促進中高齡者及高齡者就業獎勵辦法」等獲獎單位為申請對象，最高補助新臺幣200萬元。",,"1.申請表。
2.全年度員工訓練計畫及經費概算總表。
3.訓練計畫規劃之相關說明文件。(包含訓練計畫與事業單位營運策略計畫之關聯性、訓練計畫預期效益及事業單位營運策略決策者對訓練計畫之預期效益評價等)
4.申請及參加訓練計畫之事業單位合法設立登記證明文件之影本。
5.申請及參加訓練計畫之事業單位最近一期之勞工保險費繳款單及明細表影本。
6.最近一期之納稅證明或無欠稅證明影本。
7.使用之數位學習平臺及學習歷程相關資料。(包含學習時數、學習紀錄、學習認證及評量機制等）
8.所結合之事業單位共同簽署之聯合訓練授權書及相關辦訓經驗佐證資料。(個別型訓練計畫免附)","企業接受本計畫所提供之輔導服務及訓練課程辦理達3年者，本計畫不再受理申請。
當達第3年時，當年度與前一年度相比，增僱具就業保險加保員工人數達30%以上，或企業整體薪資給付總額之每人平均薪資額度提高達5%以上者，得再申請本計畫最多2年服務。",,,,
Plan13,綜合規劃科,推動事業單位辦理職前培訓計畫(訓用合一),為協助事業單位獲得符合經營發展需求之人力，同時提升僱用中高齡者及高齡者工作機會，本署依雇主僱用人力需求，補助辦理職業訓練，落實訓用合一。 ,,,"事業單位：依法辦理公司或商業登記，並領有設立登記證明文件之單位。
訓練單位：接受事業單位委託辦理訓練，且為依法設立登記及具有辦理訓練相關項目之職業訓練機構、大專校院、民間團體等單位。

申請單位針對僱用中高齡者及高齡者之用人需求訂定招募計畫，規劃辦理培訓課程。
申請單位於各分署公告受理訓練計畫申請之期限內，檢附相關文件向主要辦訓所在地之分署提出申請。","本計畫訓練對象為年滿十五歲以上、具工作意願且工作技能不足之失
    業者，並符合下列資格之一者：
（一）具中華民國國籍。
（二）新住民：
      1.與在中華民國境內設有戶籍之國民結婚，且獲准在臺灣地區居留
        之外國人、大陸地區人民、香港或澳門居民。
      2.前目之外國人、大陸地區人民、香港或澳門居民，與其配偶離婚
        或其配偶死亡，而依法規規定得在臺灣地區繼續居留工作者。
（三）符合入出國及移民法第十六條第三項、第四項規定取得居留身分之
      下列對象之一：
      1.泰國、緬甸地區單一中華民國國籍之無戶籍國民。
      2.泰國、緬甸、印度或尼泊爾地區無國籍人民，且已依就業服務法
        第五十一條第一項第一款規定取得工作許可者。
（四）跨國（境）人口販運被害人，並取得工作許可者。
（五）因職業傷害或罹患職業疾病，經醫師診斷喪失部分工作能力，其失
      能程度符合勞工職業災害保險失能給付標準第二等級至第十五等級
      規定之項目，且未經雇主依就業服務法第五十六條第一項規定通知
      連續曠職三日失去聯繫之外國人。
    在職勞工、自營作業者、公司或行（商）號負責人，不得報名參加本
    計畫之訓練課程。
    具就業保險被保險人非自願離職身分者（以下簡稱就保非自願離職者
    ），應由公立就業服務機構推介參訓，如同時具有其他失業者身分，
    仍應優先以就保非自願離職者身分參訓。",是,不限,"1.民營事業單位
2.民間團體：依人民團體法或其他法令設立之團體(不含政治團體及政黨)。
3.私立學校",不限,"勾選
為就業保險投保單位
+
『職業訓練-職前培訓』
顯示",,"經核定補助者，補助標準分為下列二類，其餘未補助部分，由雇主自行負擔，不得向受訓學員收取任何費用：
1.雇主自行辦理訓練：補助訓練費用85%。
2.雇主委託辦理訓練：補助訓練費用100%。",,"1.申請表件檢核表。
2.申請表。
3.申請單位依法設立登記之證明文件影本。
4.委託訓練之事業單位依法設立登記之證明文件影本。(申請單位為事業單位者免附)
5.招募計畫書。(內容應包括僱用結訓中高齡者及高齡者之勞動條件。)
6.訓練計畫書。
7.事業單位委託訓練同意書。(申請單位為事業單位者免附)
8.訓練場地在訓練期間內之下列文件(屬利用學校本部、分校、政府機關(構)或開放空間辦理訓練者得免附)：
 (一)有效之「消防安全設備檢修申報受理單」影本。
 (二)查核合格之「建築物防火避難設施與設備安全檢查申報結果通知書」影本(屬事業單位辦公場所得免附)。","事業單位用人需求人數或訓練單位掌握事業單位用人需求總人數應達5人以上，始得開班。
新立案登記之事業單位具新增人力需求、或提供較優厚勞動條件或待遇薪資者，列為本計畫優先補助對象。
訓練時數不得低於80小時，每週訓練至少30小時、每日訓練時數不得超過8小時，且不得安排於晚間10時至翌日7時進行。
辦理職業訓練結訓後，雇主應依招募計畫書承諾之薪資、工時及休假等勞動條件全部僱用結訓學員；若未全部僱用，該未受僱用之結訓學員，其所需訓練費用不予補助。
僱用人數於結訓1個月內離職率達30%以上，不予補助已離職者之訓練費用。",,,,
